STATE,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Assam,2003.0,For unlawful activity,-0.012277337443591238,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,0.6104181487387184,-0.1884893745012474,0.8381427049951153,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,0.4857696084615261,-0.1987086442422631,-0.015240442405719213
Assam,2003.0,Others,0.4452007513164827,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.6583929129014252,0.08484019538736234,2.042599561342015,0.13829537969674283,-0.10237607949921654,-0.041908810802807485,1.3405412804934842,0.0037952320333966413,0.43720370650560697
Assam,2004.0,For Adoption,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2004.0,For Begging,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2004.0,For Illicit intercourse,0.45836558840310354,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,0.8072112015215452,-0.2109003634360554,1.3187998762975737,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.5963065737288454,0.4502236820138466
Assam,2004.0,For marriage,3.6278001170070686,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,6.423483078042264,-0.2109003634360554,3.8305115711929587,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,4.207625700644777,3.584782785622531
Assam,2004.0,For Prostitution,-0.1274696619515235,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.051824589556942524,-0.2109003634360554,0.16341249664569665,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.0712062036242551,-0.12916522810281575
Assam,2004.0,For Ransom,-0.06493668579007457,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,0.10583770673445221,-0.058332436459052284,-0.055486575520326396,0.16341249664569665,-0.10237607949921654,-0.041908810802807485,-0.006981120121602774,-0.0749562754071377,-0.06732034443867763
Assam,2004.0,For Revenge,-0.2097498937429037,-0.08835272519677301,0.16927564571069598,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.1689658337949181,-0.2109003634360554,-0.06264155589488796,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.1649579981963198,-0.21054007502931324
Assam,2004.0,For Selling body parts,-0.2558268235460766,-0.010819821921113316,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.1980477291640405,-0.2212090749395586,-0.2561099893081519
Assam,2004.0,For Slavery,-0.15050812685310996,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.049417813882245074,-0.13642659928436934,-0.17204691645712314,0.03782691190092743,0.23384935414109523,-0.041908810802807485,-0.09748635598381011,-0.1387074957161417,-0.15195018524223505
Assam,2004.0,For unlawful activity,0.07987652216275458,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.0761847105888103,-0.22753645591390592,1.1878237278055055,-0.16311002369070335,0.06573663732093936,-0.041908810802807485,0.8276782772743094,-0.2212090749395586,0.075899386151958
Assam,2004.0,Others,0.5834315407260015,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,2.1629733549056915,-0.051824589556942524,3.5578839935203725,0.08806114579883513,-0.10237607949921654,-0.041908810802807485,1.9941902061649817,-0.08245641897290287,0.5739134493421229
Assam,2005.0,For Adoption,-0.2525356142744214,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.11937227036910748,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.21370893137379343,-0.25285499543109197
